OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,FC_FC_CODE,FC_CODE_DESC,TOWN_NUMBER,TOWN_NAME,YEAR,GlobalID,speed
31326,"0920683R",0.74,0.79,"7",Local,"092",NEW HAVEN,"2024",{135D8E81-E887-4578-807C-7BE5E9A5922B},25
31327,"0920686",0,0.1,"7",Local,"092",NEW HAVEN,"2024",{34AD626D-F39E-4E09-B2C6-A2D663D396F6},25
31328,"0920694",0,0.07,"7",Local,"092",NEW HAVEN,"2024",{3FFACB35-8C30-403D-A141-2756CD024D57},25
31329,"0920696",0,0.05,"7",Local,"092",NEW HAVEN,"2024",{9AED84FE-F648-4D4C-9A2D-4D9CC05CE132},25
31330,"0920710",0,0.26,"7",Local,"092",NEW HAVEN,"2024",{ADF7C6F1-12F9-4F6A-90EF-2630166AD4C2},25
31331,"0920713",0,0.19,"7",Local,"092",NEW HAVEN,"2024",{C1A558B5-C271-4CB4-AA8C-8F1DD4AC11F6},25
31332,"0920714",0,0.07,"7",Local,"092",NEW HAVEN,"2024",{671B48FF-86D6-4334-9E96-42FCE3DD7917},25
31333,"0920723",0,0.1,"7",Local,"092",NEW HAVEN,"2024",{BA3BC7F4-C6B7-43E2-A30E-0427F38AA44F},25
31334,"0920731",0,0.05,"7",Local,"092",NEW HAVEN,"2024",{31B1A360-BB30-43E5-9EAF-E5E9F8D0D4EE},25
31335,"0920745",0,0.45,"7",Local,"092",NEW HAVEN,"2024",{A9BFB2F3-F082-4DBE-982B-D7275054C256},25
31336,"0920752",0,0.12,"7",Local,"092",NEW HAVEN,"2024",{FF12D763-0B9F-404D-AC59-BBB80DF6A296},25
31337,"0920753",0,0.13,"7",Local,"092",NEW HAVEN,"2024",{62726975-B7E8-4ABB-AF1E-743053B38C96},25
31338,"0920765",0,0.39,"7",Local,"092",NEW HAVEN,"2024",{342DF730-C87B-41E2-84B0-EA54AA03C1F4},25
31339,"0920769",0,0.07,"7",Local,"092",NEW HAVEN,"2024",{7C73A7A6-74C7-4ABF-BD7D-7A0C475765AF},25
31340,"0920775",0,1.22,"7",Local,"092",NEW HAVEN,"2024",{11E4C9F6-1E34-4FD7-AB94-F49DCF5EC63B},25
31341,"0920778",0,0.03,"7",Local,"092",NEW HAVEN,"2024",{C19AAD08-9651-42CC-AA30-E6731BE419E8},25
31342,"0920786",0,0.06,"7",Local,"092",NEW HAVEN,"2024",{B19E3855-290A-486E-878F-AF7869EB12AF},25
31343,"0920787",0,0.11,"7",Local,"092",NEW HAVEN,"2024",{5D4F1C9D-6887-4B51-B233-671D0DD5D8FB},25
31344,"0930004",0,0.17,"7",Local,"093",NEWINGTON,"2024",{82C3DA79-EE1B-43CF-8341-6E527C984530},25
31345,"0930027",0,0.26,"7",Local,"093",NEWINGTON,"2024",{FBBB7FE3-1B68-466E-82BD-B006DBF3C515},25
31346,"0960208",0,1.05,"7",Local,"096",NEWTOWN,"2024",{BEE035EC-4AD6-4EA2-A4E5-C1F9FF30E943},25
31347,"0960220",0,0.7,"7",Local,"096",NEWTOWN,"2024",{95CCEBC5-1338-4A2A-B44F-F7C762330748},25
31348,"0960238",0,0.41,"7",Local,"096",NEWTOWN,"2024",{5895D853-EA4A-471F-BF2E-E2A52E075A5E},25
31349,"0960245",0,1.09,"7",Local,"096",NEWTOWN,"2024",{1A32B090-63C9-4E08-B252-2FAD6EDFC114},25
31350,"0960255",0,0.29,"7",Local,"096",NEWTOWN,"2024",{0E5CAA70-6241-48F5-AEAB-C4F0032E6A32},25
31351,"0960256",0,0.69,"7",Local,"096",NEWTOWN,"2024",{41B52E4B-CCC4-4DB4-BCD1-83A51BADB27D},25
31352,"0960262",0,0.11,"7",Local,"096",NEWTOWN,"2024",{467CF771-5622-4919-9002-4FF50BB34326},25
31353,"0960267",0,0.12,"7",Local,"096",NEWTOWN,"2024",{2595C9BC-C7FB-4343-9E3D-65A8D7B5EF30},25
31354,"0960277",0,0.23,"7",Local,"096",NEWTOWN,"2024",{E318ED72-1BC8-40E9-A746-5C6D79F89C2D},25
31355,"0870141",0,0.14,"7",Local,"087",NAUGATUCK,"2024",{C48E2AAA-A7F2-4449-ADC6-98AC7A30C83F},25
31356,"0870163",0.07,2.35,"5",Major Collector,"087",NAUGATUCK,"2024",{6674C495-71B5-4150-84E0-E9738AF3A843},30
31357,"0870164",0,0.06,"7",Local,"087",NAUGATUCK,"2024",{83189B20-9BCC-446D-9CFA-8C52CA6D5839},25
31358,"0870173",0,0.06,"7",Local,"087",NAUGATUCK,"2024",{8C6DF2E6-1866-46EE-92E9-A780046A8443},25
31359,"0870180",0,0.16,"7",Local,"087",NAUGATUCK,"2024",{282FBB16-6127-4327-87B8-EDC822AFF105},25
31360,"0870184",0,0.47,"4",Minor Arterial,"087",NAUGATUCK,"2024",{92711A07-D899-4FA1-A323-CFFDE4231504},40
31361,"0870202",0,0.1,"7",Local,"087",NAUGATUCK,"2024",{08D09CA6-BA3D-410E-A317-E760E9B71A8D},25
31362,"0870205",0,0.23,"7",Local,"087",NAUGATUCK,"2024",{70F5EEC8-A7C2-4AB1-B189-AE9A1B8674CF},25
31363,"0870210",0.03,2.61,"5",Major Collector,"087",NAUGATUCK,"2024",{B4E5E400-AC44-4EBC-8711-FC53BFC26E19},30
31364,"0870215",0,0.15,"7",Local,"087",NAUGATUCK,"2024",{D43DD6C4-C70B-4337-A5E3-70B791975490},25
31365,"0870249",0.43,0.48,"7",Local,"087",NAUGATUCK,"2024",{1F1CE1BE-A3FC-44FA-A0F0-6621229C6FAA},25
31366,"0870252",0,0.09,"7",Local,"087",NAUGATUCK,"2024",{EA1019E6-7F90-4150-8545-C4EAB4CFA019},25
31367,"0870253",0,0.12,"7",Local,"087",NAUGATUCK,"2024",{D5B68417-FAF2-411E-9969-8A59F5715B2B},25
31368,"0870257",0,0.28,"7",Local,"087",NAUGATUCK,"2024",{B1D72D5D-B297-4680-AEE6-A95997C7EBAB},25
31369,"0870261",0,0.15,"7",Local,"087",NAUGATUCK,"2024",{9FEC7920-4081-49E3-8469-C61138607074},25
31370,"0870279",0,0.02,"7",Local,"087",NAUGATUCK,"2024",{FD004A28-9AFB-4EAD-89BD-18950EFE4EF4},25
31371,"0870326",0,0.13,"7",Local,"087",NAUGATUCK,"2024",{6F0FCC7C-9AA6-4CD6-8DFB-B1AD70F37F97},25
31372,"0870331",0,0.13,"7",Local,"087",NAUGATUCK,"2024",{387B7169-5C4E-4F48-9B0F-1008A4DF7D9D},25
31373,"0870340",0,0.04,"7",Local,"087",NAUGATUCK,"2024",{305E1F84-39C8-43B1-AB97-43D3B76BF33F},25
31374,"0920288",0,0.25,"7",Local,"092",NEW HAVEN,"2024",{9E04679A-966B-4390-B4C3-C0A7C942CF75},25
31375,"0920297",0,0.16,"7",Local,"092",NEW HAVEN,"2024",{1C087858-4FC4-41F8-95BD-691348BCA8F4},25
31376,"0920298",0,0.04,"7",Local,"092",NEW HAVEN,"2024",{04376B3F-5D0A-4D33-A603-8FE24EB07368},25
31377,"0920301",0,0.35,"7",Local,"092",NEW HAVEN,"2024",{4B94EBD1-EAC3-4504-B642-250B36FA8FD3},25
31378,"0920304",0,0.12,"7",Local,"092",NEW HAVEN,"2024",{E9C2FF99-A30C-4EED-88DB-1DD5046E12F9},25
31379,"0920306",0,0.13,"7",Local,"092",NEW HAVEN,"2024",{7D5FC47D-540F-4770-AA29-7271CFAA877E},25
31380,"0920323",0,0.18,"7",Local,"092",NEW HAVEN,"2024",{8184F45E-5C0C-419F-8AED-65B86906019D},25
31381,"0920330",0,0.11,"7",Local,"092",NEW HAVEN,"2024",{8F72B84B-6EA2-4F66-9FF9-00A82B2E91D0},25
31382,"0920332",0,0.21,"7",Local,"092",NEW HAVEN,"2024",{7F0AA247-C4F8-4807-A184-44BBCDF89362},25
31383,"0920336",0,0.27,"7",Local,"092",NEW HAVEN,"2024",{33953551-9D18-474C-8EB1-72A601E9C025},25
31384,"0920337",0,0.32,"7",Local,"092",NEW HAVEN,"2024",{8831EC5B-29B2-4AD1-B7C1-B41B5610FDC0},25
31385,"0920339",0,0.43,"4",Minor Arterial,"092",NEW HAVEN,"2024",{8803DE61-AB45-4816-BE46-2B39D2676351},40
31386,"0920348",0,0.21,"7",Local,"092",NEW HAVEN,"2024",{96BD4AC4-FBC9-4D4E-AD1F-6AB5485CDB8C},25
31387,"0920351",0,0.18,"7",Local,"092",NEW HAVEN,"2024",{D325AFF2-6A75-4A7F-B2A5-6D6B37EE73C1},25
31388,"0920359",0,1.19,"3",Other Principal Arterial,"092",NEW HAVEN,"2024",{0294755E-64A2-4B9D-9263-F0177577C4AE},35
